№,Секунда,Микросекунда
1,1710014264,821
2,1710014264,844
3,1710014264,866
4,1710014264,888
5,1710014264,908
6,1710014264,931
7,1710014264,956
8,1710014264,979
9,1710014265,4
10,1710014265,26
11,1710014265,50
12,1710014265,70
13,1710014265,94
14,1710014265,119
15,1710014265,143
16,1710014265,165
17,1710014265,185
18,1710014265,209
19,1710014265,229
20,1710014265,254
21,1710014265,278
22,1710014265,300
23,1710014265,324
24,1710014265,347
25,1710014265,372
26,1710014265,394
27,1710014265,415
28,1710014265,441
29,1710014265,462
30,1710014265,486
31,1710014265,520
32,1710014265,542
33,1710014265,563
34,1710014265,585
35,1710014265,609
36,1710014265,629
37,1710014265,654
38,1710014265,676
39,1710014265,700
40,1710014265,720
41,1710014265,744
42,1710014265,769
43,1710014265,790
44,1710014265,814
45,1710014265,836
46,1710014265,858
47,1710014265,879
48,1710014265,901
49,1710014265,923
50,1710014265,945
51,1710014265,970
52,1710014265,995
53,1710014266,17
54,1710014266,38
55,1710014266,59
56,1710014266,84
57,1710014266,109
58,1710014266,132
59,1710014266,155
60,1710014266,178
61,1710014266,198
62,1710014266,219
63,1710014266,239
64,1710014266,264
65,1710014266,285
66,1710014266,311
67,1710014266,336
68,1710014266,356
69,1710014266,379
70,1710014266,403
71,1710014266,427
72,1710014266,452
73,1710014266,474
74,1710014266,497
75,1710014266,519
76,1710014266,544
77,1710014266,565
78,1710014266,588
79,1710014266,612
80,1710014266,635
81,1710014266,657
82,1710014266,679
83,1710014266,703
84,1710014266,728
85,1710014266,753
86,1710014266,778
87,1710014266,801
88,1710014266,827
89,1710014266,852
90,1710014266,874
91,1710014266,900
92,1710014266,921
93,1710014266,942
94,1710014266,964
95,1710014266,986
96,1710014267,9
97,1710014267,29
98,1710014267,54
99,1710014267,79
100,1710014267,104
101,1710014267,125
102,1710014267,149
103,1710014267,174
104,1710014267,198
105,1710014267,220
106,1710014267,243
107,1710014267,264
108,1710014267,284
109,1710014267,309
110,1710014267,331
111,1710014267,354
112,1710014267,374
113,1710014267,400
114,1710014267,425
115,1710014267,449
116,1710014267,474
117,1710014267,497
118,1710014267,529
119,1710014267,554
120,1710014267,579
121,1710014267,604
122,1710014267,624
123,1710014267,645
124,1710014267,668
125,1710014267,688
126,1710014267,710
127,1710014267,731
128,1710014267,751
129,1710014267,790
130,1710014267,821
131,1710014267,842
132,1710014267,862
133,1710014267,886
134,1710014267,907
135,1710014267,929
136,1710014267,952
137,1710014267,975
138,1710014267,999
139,1710014268,25
140,1710014268,49
141,1710014268,73
142,1710014268,94
143,1710014268,115
144,1710014268,136
145,1710014268,158
146,1710014268,179
147,1710014268,201
148,1710014268,222
149,1710014268,244
150,1710014268,265
151,1710014268,288
152,1710014268,313
153,1710014268,335
154,1710014268,357
155,1710014268,379
156,1710014268,400
157,1710014268,425
158,1710014268,450
159,1710014268,472
160,1710014268,494
161,1710014268,517
162,1710014268,542
163,1710014268,564
164,1710014268,585
165,1710014268,606
166,1710014268,629
167,1710014268,649
168,1710014268,674
169,1710014268,694
170,1710014268,718
171,1710014268,738
172,1710014268,763
173,1710014268,786
174,1710014268,809
175,1710014268,834
176,1710014268,854
177,1710014268,878
178,1710014268,901
179,1710014268,925
180,1710014268,950
181,1710014268,970
182,1710014268,995
183,1710014269,15
184,1710014269,35
185,1710014269,56
186,1710014269,77
187,1710014269,98
188,1710014269,119
189,1710014269,141
190,1710014269,161
191,1710014269,185
192,1710014269,209
193,1710014269,234
194,1710014269,259
195,1710014269,284
196,1710014269,309
197,1710014269,332
198,1710014269,353
199,1710014269,374
200,1710014269,395
